reading_id,timestamp,site,pipeline_section,pressure_psi,flow_rate_bph,temperature_celsius,valve_status,sensor_id
TEL-002604,2026-06-08T20:24:11,Makueni PS,Section D — Sinendet Lateral,350.8,2957.8,38.2,Open,SNS-014
TEL-000651,2026-05-04T18:33:08,SITE-007,Section E — Makueni Branch,233.8,3937.0,28.3,Closed,SNS-011
TEL-003950,2026-07-02T16:36:06,SITE-005,Section F — Kisumu Terminal Link,444.2,4031.6,22.6,Open,SNS-008
TEL-002750,2026-06-11T13:03:20,Kisumu term,Section C — Nakuru-Eldoret Extension,471.1,2788.1,29.5,Closed,SNS-013
TEL-003269,2026-06-20T02:26:52,SITE-001,Section E — Makueni Branch,469.8,2669.8,34.7,Closed,SNS-005
TEL-002179,2026-06-01T06:02:16,SITE-007,Section B — Nairobi-Nakuru Spur,432.7,3187.6,32.9,Open,SNS-011
TEL-001766,2026-05-24T19:15:59,SITE-004,Section E — Makueni Branch,497.5,4559.0,23.9,Closed,SNS-007
TEL-001375,2026-05-17T22:42:04,SITE-006,Section E — Makueni Branch,560.8,2806.9,21.8,Closed,SNS-005
TEL-001194,2026-05-14T13:28:44,SITE-004,Section C — Nakuru-Eldoret Extension,298.0,2208.6,34.8,Open,SNS-012
TEL-001413,2026-05-18T20:23:12,SITE-003,Section F — Kisumu Terminal Link,244.3,3994.4,29.5,Closed,SNS-005
TEL-003611,2026-06-26T15:09:59,Sinendet PS,Section A — Mombasa-Nairobi Main,508.0,3681.6,36.2,Open,SNS-003
TEL-002135,2026-05-31T07:02:28,SITE-004,Section A — Mombasa-Nairobi Main,371.1,2437.0,21.9,Open,SNS-009
TEL-004424,2026-07-11T11:38:57,SITE-004,Section D — Sinendet Lateral,426.3,3160.0,28.9,Open,SNS-007
TEL-002323,2026-06-03T21:55:56,SITE-005,Section D — Sinendet Lateral,200.0,3301.6,26.3,Open,SNS-013
TEL-004196,2026-07-07T04:16:26,Kisumu  Terminal,Section E — Makueni Branch,391.4,1981.1,27.0,Open,SNS-010
TEL-004145,2026-07-06T00:34:23,SITE-002,Section A — Mombasa-Nairobi Main,600.0,2768.1,23.5,Open,SNS-010
TEL-003968,2026-07-02T22:12:18,SITE-004,Section E — Makueni Branch,345.9,3447.3,28.9,Partially Open,SNS-010
TEL-001703,2026-05-23T18:05:48,SITE-007,Section E — Makueni Branch,545.0,3733.0,30.9,Open,SNS-010
TEL-002322,2026-06-03T21:47:25,SITE-003,Section E — Makueni Branch,315.3,3046.2,38.9,Open,SNS-008
TEL-000784,2026-05-07T04:15:53,SITE-005,Section C — Nakuru-Eldoret Extension,420.8,4771.9,25.0,Open,SNS-003
TEL-000352,2026-04-29T06:04:45,SITE-005,Section C — Nakuru-Eldoret Extension,407.9,2322.0,18.4,Open,SNS-011
TEL-003493,2026-06-24T11:53:30,SITE-002,Section E — Makueni Branch,200.0,2480.4,32.7,Open,SNS-005
TEL-004245,2026-07-08T02:13:34,SITE-006,Section D — Sinendet Lateral,523.6,3684.6,30.8,Open,SNS-001
TEL-002686,2026-06-10T09:38:46,SITE-005,Section F — Kisumu Terminal Link,421.7,2692.1,43.2,Closed,SNS-001
TEL-003294,2026-06-20T15:09:12,Kisumu term,Section F — Kisumu Terminal Link,366.1,3663.6,27.7,Closed,SNS-010
TEL-000375,2026-04-29T14:58:36,SITE-004,Section B — Nairobi-Nakuru Spur,418.1,1966.8,34.8,Open,SNS-014
TEL-003153,2026-06-18T00:02:33,SITE-002,Section D — Sinendet Lateral,520.0,2377.6,34.8,Open,SNS-005
TEL-003286,2026-06-20T11:00:14,SITE-003,Section E — Makueni Branch,400.9,2776.0,25.9,Open,SNS-001
TEL-000480,2026-05-01T13:30:08,SITE-005,Section E — Makueni Branch,296.9,2917.8,24.6,Open,SNS-012
TEL-002295,2026-06-03T12:13:46,SITE-004,Section B — Nairobi-Nakuru Spur,1150,3959.8,33.9,Open,SNS-001
TEL-003380,2026-06-22T06:52:25,SITE-004,Section C — Nakuru-Eldoret Extension,478.6,3506.1,42.3,Open,SNS-010
TEL-003856,2026-07-01T00:32:10,SITE-001,Section C — Nakuru-Eldoret Extension,438.4,,29.6,Partially Open,SNS-004
TEL-003904,2026-07-01T19:54:01,SITE-006,Section D — Sinendet Lateral,454.9,2880.6,23.3,Open,SNS-007
TEL-000923,2026-05-09T10:35:01,SITE-001,Section E — Makueni Branch,284.8,2710.8,27.0,Open,SNS-010
TEL-001816,2026-05-25T12:10:21,SITE-003,Section C — Nakuru-Eldoret Extension,437.5,2174.4,33.0,Closed,SNS-009
TEL-000228,2026-04-27T01:24:06,SITE-004,Section F — Kisumu Terminal Link,350.4,3375.1,27.6,Partially Open,SNS-013
TEL-000891,2026-05-08T18:39:15,Nakuru  Depot,Section A — Mombasa-Nairobi Main,338.8,3314.8,18.4,Partially Open,SNS-011
TEL-002246,2026-06-02T13:42:20,SITE-004,Section E — Makueni Branch,385.4,2512.9,29.5,Partially Open,SNS-001
TEL-004847,2026-07-18T21:38:34,SITE-002,Section A — Mombasa-Nairobi Main,324.5,3541.5,29.5,Closed,SNS-014
TEL-001603,2026-05-22T02:37:12,SITE-003,Section C — Nakuru-Eldoret Extension,409.2,2254.5,30.9,Partially Open,SNS-005
TEL-000370,2026-04-29T12:39:30,SITE-001,Section D — Sinendet Lateral,433.7,2787.5,27.3,Open,SNS-004
TEL-001073,2026-05-12T05:23:50,SITE-007,Section D — Sinendet Lateral,476.3,3851.4,36.0,Open,SNS-002
TEL-004321,2026-07-09T14:08:46,SITE-001,Section B — Nairobi-Nakuru Spur,493.4,3266.8,26.0,Closed,SNS-006
TEL-002260,2026-06-02T21:22:12,SITE-003,Section A — Mombasa-Nairobi Main,410.4,3352.5,28.2,Open,SNS-005
TEL-004611,2026-07-14T20:22:32,SITE-004,Section A — Mombasa-Nairobi Main,238.7,3311.6,27.1,Open,SNS-001
TEL-000697,2026-05-05T09:00:26,SITE-004,Section B — Nairobi-Nakuru Spur,461.6,3567.3,16.1,Open,SNS-008
TEL-000336,2026-04-29T01:40:32,SITE-003,Section D — Sinendet Lateral,356.9,2855.3,17.2,Open,SNS-006
